fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno
KC77,77,Kaga/Cab_F2,27135,58.63,0.418,139.96,2.17e-41,56.42,1.67,0.31,56.88,1.36,8_12_20,AU,-1
KC78,78,Kaga/Cab_F2,26738,57.15,0.26,219.75,2.93e-38,63.44,3.61,0.75,62.91,5.66,8_12_20,AU,-1
KC79,79,Kaga/Cab_F2,26331,55.9,0.283,197.61,1.4e-45,59.45,2.12,0.39,58.54,3.54,11_12_20,AU,-1
KC80,80,Kaga/Cab_F2,24921,57.32,0.25,221.76,5.57e-47,57.21,0.68,0.13,57.19,0.53,11_12_20,AU,-1
KC81,81,Kaga/Cab_F2,27994,56.9,0.43,131.16,1.33e-40,58.49,1.44,0.27,58.24,3.01,11_12_20,AU,0
KC82,82,Kaga/Cab_F2,24789,57.96,0.06,842.74,3.27e-63,57.9,0.18,0.03,57.79,0.3,11_12_20,AU,-1
KC83,83,Kaga/Cab_F2,24504,61.08,0.55,110.42,1.64e-38,65.67,2.98,0.55,66.83,2.87,11_12_20,AU,-1
KC84,84,Kaga/Cab_F2,22838,58.79,0.22,266.02,3.42e-49,63.23,2.58,0.48,62.46,4.38,11_12_20,AU,0
KC85,85,Kaga/Cab_F2,31162,63.46,0.191,331.98,6.94e-52,63.71,0.52,0.1,63.67,0.9,11_12_20,AU,0
KC86,86,Kaga/Cab_F2,24919,58.17,0.092,630.59,1.099e-59,62.27,2.34,0.43,62.46,3.77,11_12_20,AU,0
KC87,87,Kaga/Cab_F2,25532,55.91,0.082,676.12,1.56e-60,58.05,1.23,0.23,57.94,2.11,11_12_20,AU,0
KC88,88,Kaga/Cab_F2,21819,59.33,0.078,796.91,1.56e-62,62.36,1.73,0.32,62.46,2.56,12_12_20,AU,-1
KC89,89,Kaga/Cab_F2,31265,58.61,0.189,309.37,5e-51,61.93,1.95,0.36,62.16,2.57,12_12_20,AU,NA
KC90,90,Kaga/Cab_F2,26913,59.18,0.185,318.25,2.26e-51,60.16,0.74,0.14,60.2,0.6,12_12_20,AU,0
KC91,91,Kaga/Cab_F2,21398,55.74,0.245,226.14,3.22e-47,58.22,1.55,0.29,58.69,1.96,12_12_20,AU,-1
KC92,92,Kaga/Cab_F2,25687,58.92,0.142,413.037,1.53e-54,61.87,1.71,0.32,62.31,2.27,12_12_20,AU,0
KC93,93,Kaga/Cab_F2,27929,54.3,0.05,934.97,1.78e-64,56.95,1.51,0.28,57.19,2.63,12_12_20,AU,-1
KC94,94,Kaga/Cab_F2,23110,61.84,0.107,572.94,1.61e-58,63.86,1.18,0.22,63.67,1.73,12_12_20,AU,-1
KC95,95,Kaga/Cab_F2,24117,65.02,1.071,60.69,2.9e-31,68.03,3.29,0.61,68.64,3.16,12_12_20,AU,-1
KC96,96,Kaga/Cab_F2,28174,57.08,0.264,215.44,1.25e-46,59.65,1.61,0.3,58.84,2.33,12_12_20,AU,0
