fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno,reporter_pheno
KC83,83,Kaga/Cab_F2,24504,-0.9613984251925768,0.55,11042,1.64e-36,6567,2.98,0.55,6683,2.87,11_12_20,AU,-1,-1
KC84,84,Kaga/Cab_F2,22838,-1.1172045949365381,0.22,26602,3.42e-47,6323,2.58,0.48,6246,4.38,11_12_20,AU,0,0
KC85,85,Kaga/Cab_F2,31162,-0.9013547330785939,191,33198,6.94e-50,6371,0.52,0.1,6367,0.9,11_12_20,AU,0,0
KC86,86,Kaga/Cab_F2,24919,-1.1930265098216988,92,63059,1.099e-56,6227,2.34,0.43,6246,3.77,11_12_20,AU,0,0
KC87,87,Kaga/Cab_F2,25532,-1.3865185637914783,82,67612,1.56e-58,5805,1.23,0.23,5794,2.11,11_12_20,AU,0,0
KC88,88,Kaga/Cab_F2,21819,-1.0700308263757443,78,79691,1.56e-60,6236,1.73,0.32,6246,2.56,12_12_20,AU,-1,-1
KC89,89,Kaga/Cab_F2,31265,-1.1417509213572865,189,30937,5e-51,6193,1.95,0.36,6216,2.57,12_12_20,AU,NA,0
KC90,90,Kaga/Cab_F2,26913,-1.0815989098563128,185,31825,2.26e-49,6016,0.74,0.14,602,0.6,12_12_20,AU,0,0
KC91,91,Kaga/Cab_F2,21398,-1.4036806348370663,245,22614,3.22e-45,5822,1.55,0.29,5869,1.96,12_12_20,AU,-1,0
KC92,92,Kaga/Cab_F2,25687,-1.1051802321969408,142,413037,1.53e-52,6187,1.71,0.32,6231,2.27,12_12_20,AU,0,0
KC93,93,Kaga/Cab_F2,27929,-2.563935131525223,0.05,93497,1.78e-62,5695,1.51,0.28,5719,2.63,12_12_20,AU,-1,-1
KC94,94,Kaga/Cab_F2,23110,-0.9410072101160448,107,57294,1.61e-56,6386,1.18,0.22,6367,1.73,12_12_20,AU,-1,-1
KC95,95,Kaga/Cab_F2,24117,-0.8725219957548908,1.071,6069,2.9e-30,6803,3.29,0.61,6864,3.16,12_12_20,AU,-1,-1
KC96,96,Kaga/Cab_F2,28174,-1.2764085780718588,264,21544,1.25e-44,5965,1.61,0.3,5884,2.33,12_12_20,AU,0,0
KC97,97,Kaga/Cab_F2,23661,-1.0361560087411812,0.19,31406,3.28e-49,6249,1.63,0.3,6246,3.55,12_12_20,AU,-1,0
KC98,98,Kaga/Cab_F2,26191,-0.9717453862804284,48,125048,5.2e-67,6265,1.14,0.21,6261,1.74,13_12_20,AU,-1,0
KC99,99,Kaga/Cab_F2,26484,-0.8916615184071626,0.11,57524,1.44e-56,6518,0.86,0.16,6503,1.06,13_12_20,AU,0,0
KC100,100,Kaga/Cab_F2,26729,-0.9821974424705227,0.08,75522,7.05e-60,6124,0.4,0.07,6141,0.91,13_12_20,AU,0,0
