fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno,reporter_pheno
KC492,492,Kaga/Cab_F2,19686,-0.4871783401879178,0.183090807882183,287200994289144,4.01324407198087e-36,551,1.51,0.28,5462,3.24,7_4_21,AU,0,0
KC493,493,Kaga/Cab_F2,24379,-0.1776587985944205,0.150163492512049,365986839741063,4.53351495931384e-39,563,0.86,0.16,5598,1.51,7_4_21,AU,0,0
KC494,494,Kaga/Cab_F2,24458,-0.5092057391561582,0.111620797913836,4640246760974,5.89905289914214e-42,5482,1.75,0.32,5462,3.23,7_4_21,AU,0,0
KC495,495,Kaga/Cab_F2,NA,-0.4083005438051594,0.323759074238541,166073399614824,1.82108700483518e-29,6051,3.92,0.73,593,7.08,7_4_21,AU,0,0
KC496,496,Kaga/Cab_F2,25101,-0.8345690469243326,0.388237454744865,168752867883653,1.16382605212981e-29,6535,1.02,0.19,6518,1.73,7_4_21,DB,-1,-1
KC497,497,Kaga/Cab_F2,22951,2.515653635699612,0.216134028838111,327467728801018,1.01963329834528e-37,6942,0.96,0.18,697,1.73,7_4_21,DB,-1,-1
KC498,498,Kaga/Cab_F2,25180,0.017373545176098258,0.0994605915826019,610688588408587,2.69960914929632e-45,6217,0.85,0.16,6186,1.42,7_4_21,DB,-1,0
KC499,499,Kaga/Cab_F2,25415,-1.0009899168818817,0.233842940341753,259713565948529,6.70513575930346e-35,6319,1.52,0.28,6306,2.86,7_4_21,DB,-1,-1
KC500,500,Kaga/Cab_F2,23347,0.8702598486949882,0.289741562483789,22221864360622,5.26636809919046e-33,6689,1.61,0.3,6593,2.94,7_4_21,DB,-1,-1
KC501,501,Kaga/Cab_F2,19669,0.7999109790503357,1.24942797285169,511975716494643,3.26033995468194e-15,6479,3.31,0.62,6472,6.26,7_4_21,DB,NA,-1
KC502,502,Kaga/Cab_F2,26300,-0.73982540678468,0.374255594028922,151264440990603,2.48242973161337e-26,606,2.47,0.46,5945,3.84,7_4_21,DB,NA,-1
KC503,503,Kaga/Cab_F2,17534,-0.34683820757541045,0.175999298305872,336372030736302,4.81155904417062e-38,6156,1.42,0.26,6171,1.13,7_4_21,DB,NA,0
KC504,504,Kaga/Cab_F2,18166,0.9297988390916847,0.0438373247705999,147334951408216,5.27301382036037e-56,6795,1.91,0.36,6804,3.17,7_4_21,DB,NA,0
KC505,505,Kaga/Cab_F2,25101,1.5064432377559565,0.104932782073703,601283008071382,4.16899562075565e-45,6314,0.28,0.05,6322,0.31,14_4_21,AU,NA,0
KC506,506,Kaga/Cab_F2,24797,-0.3942420695398091,0.249281917185136,215915721706751,1.17817078520987e-32,5694,1.88,0.35,5613,2.86,14_4_21,AU,NA,-1
KC507,507,Kaga/Cab_F2,23253,-0.20407822855902474,0.059465942672323,922073431411119,3.57756022646817e-44,5692,1.19,0.23,5688,2.11,14_4_21,AU,NA,0
KC508,508,Kaga/Cab_F2,20910,-0.30459752698656345,0.159838733994138,340824268179126,3.32985879859687e-38,5545,0.69,0.13,5508,1.36,14_4_21,AU,NA,0
KC509,509,Kaga/Cab_F2,17942,0.3079959926429068,0.282533422466688,202588828050166,7.0057482063167e-33,554,1.28,0.24,5477,1.96,14_4_21,AU,NA,-1
KC510,510,Kaga/Cab_F2,17871,-0.8260126865510797,0.141642755792704,402251422468688,3.21919447780719e-40,5824,0.81,0.15,5794,1.5,14_4_21,AU,NA,0
KC511,511,Kaga/Cab_F2,16412,0.906233227854825,0.259769211544524,230079826693279,1.99062545903081e-33,6138,1.14,0.21,6111,1.73,14_4_21,AU,NA,-1
KC512,512,Kaga/Cab_F2,23230,0.3284632203973867,0.167017872028632,3428174660754,2.82835689487704e-38,6108,2.22,0.41,6065,3.84,14_4_21,AU,0,0
KC513,513,Kaga/Cab_F2,25201,-0.4798886142399742,0.928058572005183,567925163336577,1.83544940607738e-16,5694,3.42,0.64,5719,6.03,14_4_21,AU,-1,-1
KC514,514,Kaga/Cab_F2,25203,-0.125171097239012,0.10346626849431,534524141980106,1.12469721097874e-43,5716,1.09,0.2,5688,2.26,14_4_21,AU,0,0
KC515,515,Kaga/Cab_F2,29829,1.0600784498578353,0.278740307918732,232943143971455,1.40820706269489e-33,6317,1.24,0.23,6261,1.13,14_4_21,DB,0,0
KC516,516,Kaga/Cab_F2,21185,1.9474137700293344,0.232143016020113,290954609006709,2.79027008425727e-36,7105,2.09,0.39,7196,3.84,14_4_21,DB,0,0
KC517,517,Kaga/Cab_F2,24594,0.04717188181936642,0.0677662042402033,89789441852235,5.548619491424e-52,6341,1.47,0.27,6352,2.63,14_4_21,DB,0,0
KC518,518,Kaga/Cab_F2,28657,-1.0688250381638063,0.168520480737731,358257488191545,8.24037297491903e-39,637,1.94,0.36,6337,4.07,14_4_21,DB,0,0
KC519,519,Kaga/Cab_F2,28596,-0.38933316873923257,0.156905948953411,37680951912135,2.00505136433956e-39,631,2.29,0.43,6276,4.14,14_4_21,DB,0,0
KC520,520,Kaga/Cab_F2,23968,1.2759301894986907,0.250012825269983,262632043933901,4.90428030201883e-35,6999,2.54,0.47,6925,4.14,14_4_21,DB,-1,0
KC521,521,Kaga/Cab_F2,26129,-0.36800261123933165,0.0941146644739058,628906596694547,1.18540952160666e-45,608,0.94,0.18,6111,1.73,17_4_21,DB,0,0
KC522,522,Kaga/Cab_F2,22719,-0.8205876439303043,0.561600177782145,980676000258674,4.51746042500623e-23,5887,2.61,0.49,5749,5.13,17_4_21,DB,-1,-1
KC523,523,Kaga/Cab_F2,29258,-0.40006463530231284,0.188116821557678,313974098832517,4.61590591875374e-34,5977,0.62,0.12,599,0.6,17_4_21,DB,0,0
KC524,524,Kaga/Cab_F2,25731,-0.5676141016465979,0.0538256245174936,108293077525579,2.92238121046461e-52,6009,1.03,0.19,6005,1.73,18_4_21,DB,0,0
KC525,525,Kaga/Cab_F2,27353,0.40544761809631036,0.11631140711917,535440509430443,1.07203356711413e-43,6539,1.79,0.33,6533,2.94,18_4_21,DB,0,0
KC526,526,Kaga/Cab_F2,21890,0.39469322015939146,0.218641111392679,28482723185984,5.06274705421413e-36,6195,0.6,0.11,6201,1.2,18_4_21,DB,-1,-1
KC527,527,Kaga/Cab_F2,21781,0.21762311585564575,0.0505942968019245,121866900118829,1.07098766795059e-53,6232,0.4,0.07,6231,0.6,18_4_21,DB,0,0
KC528,528,Kaga/Cab_F2,22951,1.1909750841196034,0.178832743373006,365490295295521,4.70913407728283e-39,6533,0.47,0.09,6533,0.6,18_4_21,DB,0,0
KC529,529,Kaga/Cab_F2,19238,-0.09195640912646537,0.33304877738221,181486308337599,1.52080700988425e-30,627,1.55,0.29,6216,2.64,18_4_21,DB,0,0
KC530,530,Kaga/Cab_F2,28251,-1.086568114986069,0.223755458555243,268400567037767,2.66978732124796e-35,6333,1.95,0.36,6306,3.92,18_4_21,DB,0,0
KC531,531,Kaga/Cab_F2,21593,2.0182584034557998,0.235355423409574,287841008918853,3.77082185849709e-36,6623,1.06,0.2,6608,1.73,18_4_21,DB,-1,-1
KC532,532,Kaga/Cab_F2,24400,1.1734361258658552,0.228793156511644,268645102225389,2.60259668831495e-35,6949,4.6,0.85,6909,8.81,19_4_21,AU,0,0
KC533,533,Kaga/Cab_F2,20532,0.7001570406108751,0.165339302785325,355438501511599,1.02799040400822e-38,6247,2.15,0.4,6291,2.64,19_4_21,AU,-1,-1
KC534,534,Kaga/Cab_F2,19481,0.9665589707763068,0.14188114473407001,423418189808547,7.66006599490292e-41,6283,1.61,0.3,6276,3.46,19_4_21,AU,-1,0
KC535,535,Kaga/Cab_F2,17457,-0.5540273105217076,0.605055894226805,838836532869961,3.53500151039412e-21,577,4.25,0.79,593,8.29,19_4_21,AU,-1,-1
KC536,536,Kaga/Cab_F2,16029,0.40477846150004193,0.150004924947855,383759047554257,1.20209213946702e-39,5989,1.38,0.26,599,1.13,19_4_21,AU,-1,0
KC537,537,Kaga/Cab_F2,21967,2.014238722033481,0.158040292239903,421605419313047,8.63769258014307e-41,7185,2.99,0.56,7226,5.19,19_4_21,AU,0,0
KC538,538,Kaga/Cab_F2,23246,1.5699381740697695,0.0766015160716068,827899042883136,5.38381252828751e-49,6455,0.68,0.13,6472,1.21,19_4_21,AU,-1,-1
KC539,539,Kaga/Cab_F2,22327,-0.10558449012088227,0.148941383109986,371958255353276,2.88183862441265e-39,5728,1.13,0.21,5688,1.73,20_4_21,AU,-1,-1
KC540,540,Kaga/Cab_F2,NA,-0.2573673391266588,0.335128734417264,162836515636863,3.15822502080446e-29,5989,3.15,0.58,611,5.58,20_4_21,AU,-1,0
KC541,541,Kaga/Cab_F2,20272,-0.19746072702551248,0.294748633820037,186250422130141,7.36598891598878e-31,5601,1,0.19,5583,0.3,20_4_21,AU,0,0
KC542,542,Kaga/Cab_F2,21503,0.5055175960234041,0.398963092251512,14538653623729,7.52036268083001e-28,6047,1.75,0.32,599,3.54,20_4_21,AU,0,0
KC543,543,Kaga/Cab_F2,19898,1.0874375880206113,0.115953787757591,524591666912712,1.90151542189172e-43,6228,0.88,0.16,6261,1.12,20_4_21,AU,-1,0
KC544,544,Kaga/Cab_F2,21869,0.19415523417778652,0.0755720296262407,751063013691122,8.23126210884743e-48,5823,0.86,0.16,5794,1.2,20_4_21,AU,-1,-1
KC545,545,Kaga/Cab_F2,18924,-0.2107046791339243,0.258280251430882,212215441047502,1.91112084937439e-32,5602,0.96,0.18,5598,0.9,20_4_21,AU,0,0
KC546,546,Kaga/Cab_F2,25758,0.42598822042665463,0.081217987547246,710035226499078,3.96764842627484e-47,5897,0.77,0.14,5899,1.73,20_4_21,AU,0,0
KC547,547,Kaga/Cab_F2,22780,-0.6795872463317505,0.203286261540291,278495336738967,9.49889870043867e-36,5856,1.23,0.23,5884,0.82,14_7_21,AU,-1,-1
KC548,548,Kaga/Cab_F2,23204,0.3559702138588094,0.255665349645441,22421074901126,4.10245566502049e-33,5934,1.33,0.25,5889,2.51,14_7_21,AU,-1,-1
KC549,549,Kaga/Cab_F2,21963,-0.6552764504969516,0.0418301163163569,138363985541494,3.06171630136135e-55,5885,0.56,0.1,5889,0.76,14_7_21,AU,-1,0
KC550,550,Kaga/Cab_F2,20640,-0.4581696949468663,0.282139206107096,187838228748384,5.80875074935785e-31,5597,1.84,0.34,5492,2.34,14_7_21,AU,-1,-1
KC551,551,Kaga/Cab_F2,21472,-0.14480584707645036,0.382941870520555,143923167298556,9.97923754537098e-28,5516,1.01,0.19,5477,1.44,14_7_21,AU,0,-1
KC552,552,Kaga/Cab_F2,22365,-0.8443969847688186,0.140973775886078,374693801510191,2.34737444319841e-39,5569,1.67,0.31,5568,2.27,14_7_21,AU,-1,-1
KC553,553,Kaga/Cab_F2,28077,0.2206618265234163,0.0603535408065054,942656651232206,1.4210601746883e-51,5945,1.46,0.27,5945,2.63,14_7_21,AU,-1,-1
KC554,554,Kaga/Cab_F2,24877,0.056778221248045116,0.651140873352967,863271708560318,1.58681042187743e-21,57,1.77,0.33,5764,3.23,14_7_21,AU,-1,-1
KC555,555,Kaga/Cab_F2,22763,0.017835946280036204,0.068467543154281,817605958756644,7.64217814099199e-49,5703,0.62,0.12,5678,1.21,14_7_21,AU,-1,-1
KC556,556,Kaga/Cab_F2,23698,0.7594110139190592,0.500975423456917,117551181387699,2.86050865640056e-25,6261,2.49,0.46,6141,3.99,15_7_21,AU,-1,-1
KC557,557,Kaga/Cab_F2,21168,-0.04703688604684649,0.0472298210603173,118166769998373,2.53926843607107e-53,5951,2.1,0.39,5945,3.54,15_7_21,AU,-1,-1
KC558,558,Kaga/Cab_F2,22849,0.18095407681241135,0.138472211589954,409242323817148,1.98727954005588e-40,5984,1.84,0.34,5945,3.24,15_7_21,AU,-1,-1
KC559,559,Kaga/Cab_F2,23146,0.2809040964427885,0.265742654105094,214980607587317,1.3303225082733e-33,6172,2.7,0.5,6261,5.05,15_7_21,AU,-1,0
KC560,560,Kaga/Cab_F2,24475,-0.26407702221572404,0.0651555235286769,837005986060231,3.96334600181866e-49,5761,1.75,0.33,5749,2.94,15_7_21,AU,0,0
KC561,561,Kaga/Cab_F2,24117,0.7422167601384049,0.0550180036756185,107011992685327,4.07797292786376e-52,6119,1.32,0.25,6111,2.03,15_7_21,AU,-1,0
KC562,562,Kaga/Cab_F2,21243,-0.33874812596811976,0.556086716535033,977633432614087,4.92690344566987e-23,5566,1.63,0.3,5538,2.56,15_7_21,AU,-1,-1
KC563,563,Kaga/Cab_F2,21421,1.8844183562869945,0.509093858535137,130026968356983,1.70621882372369e-26,6326,2.14,0.4,6397,3.99,15_7_21,AU,-1,-1
KC564,564,Kaga/Cab_F2,23309,-0.5768567601596988,0.511055736190777,941588370610521,1.40622058750343e-22,5394,3.57,0.66,5553,5.35,15_7_21,AU,-1,-1
KC565,565,Kaga/Cab_F2,26767,0.4617742642858014,0.0449927405973488,128710674213803,2.31947402769775e-54,6159,2.09,0.39,6171,3.25,15_7_21,AU,-1,0
KC566,566,Kaga/Cab_F2,21777,0.19733632310664706,0.0925011844217788,665715489475066,2.41125319650095e-46,6311,0.9,0.17,6322,0.91,15_7_21,DB,0,0
KC567,567,Kaga/Cab_F2,22970,1.0258750276140414,0.104843125946616,618404160520447,1.89949907119117e-45,6751,1.54,0.29,6729,2.63,15_7_21,DB,-1,-1
KC569,569,Kaga/Cab_F2,21635,0.6089248417473363,0.205872542310541,306918502091365,1.20231012549586e-30,6403,0.69,0.14,6382,0.82,15_7_21,DB,-1,-1
KC570,570,Kaga/Cab_F2,19293,2.1009704038602157,0.110068104669568,616710963637765,2.05105477922717e-45,7027,1.39,0.26,7045,1.73,15_7_21,DB,0,0
KC571,571,Kaga/Cab_F2,23483,1.6121436085910854,0.0629809665252052,105701374239461,5.75826494089465e-52,6721,0.4,0.07,6714,0.83,15_7_21,DB,-1,-1
KC572,572,Kaga/Cab_F2,21281,0.827558123948614,0.170303021853673,37674158207354,2.0151979813076e-40,6463,0.52,0.1,6442,0.52,15_7_21,DB,0,0
KC573,573,Kaga/Cab_F2,24977,1.009215515622225,0.0987675202734058,65594880384026,3.64716799184025e-46,6622,0.86,0.16,6623,0.9,15_7_21,DB,-1,-1
KC574,574,Kaga/Cab_F2,23996,0.20746904612604616,0.300238931870599,205271992190284,4.84798035107081e-32,6421,1.66,0.31,6367,3.17,15_7_21,DB,-1,-1
KC575,575,Kaga/Cab_F2,22225,-0.4434700986141673,0.0830261244104328,708433714867407,4.22659449410411e-47,6224,1.96,0.36,6246,3.77,15_7_21,DB,0,0
KC576,576,Kaga/Cab_F2,22587,-0.040545198468474486,0.71443210022082,781379082320112,2.55666768133513e-20,6172,3.84,0.71,5975,4.9,16_7_21,AU,-1,0
KC577,577,Kaga/Cab_F2,22514,-0.21734039475853534,0.959032413840716,570963206581636,7.41092798296554e-15,6379,5.67,1.09,605,8.74,16_7_21,AU,-1,-1
KC578,578,Kaga/Cab_F2,24054,-0.8351695511828633,0.686397370308597,78311780209521,1.99643840863076e-15,5417,1.65,0.34,5357,3.62,16_7_21,AU,-1,-1
KC579,579,Kaga/Cab_F2,21526,0.04379081157796439,0.199840316088393,280745301965203,7.58331611491286e-36,588,1.62,0.3,5839,2.04,16_7_21,AU,-1,0
KC580,580,Kaga/Cab_F2,21534,0.8677869121781097,0.213091225769983,279092382692614,8.94624438174731e-36,6426,2.78,0.52,6367,4.59,16_7_21,AU,-1,0
KC581,581,Kaga/Cab_F2,19835,0.06977521533269873,0.0927683269867743,605992598618756,3.35091645464723e-45,5896,1.58,0.29,5869,2.34,16_7_21,AU,-1,-1
KC582,582,Kaga/Cab_F2,21764,1.4302265587790939,0.391439109359047,160121907885303,5.0542919259484e-30,6359,1.15,0.21,6382,1.51,16_7_21,AU,NA,-1
KC583,583,Kaga/Cab_F2,22141,-0.18217480534008948,0.0639498288635335,93983410046825,1.54552773907518e-50,6252,1.38,0.26,6231,2.34,16_7_21,DB,-1,0
KC584,584,Kaga/Cab_F2,23115,0.4933261158810267,0.280139602197218,224404126605292,4.00466385460732e-33,6382,0.91,0.17,6352,0.6,16_7_21,DB,-1,0
KC585,585,Kaga/Cab_F2,21446,0.13692622576424995,0.758579057160335,809043793613724,9.69150321224123e-21,6225,2.05,0.38,6291,3.55,16_7_21,DB,-1,-1
KC587,587,Kaga/Cab_F2,20950,-0.12190999850935678,0.346488655048043,174345692759623,4.67488416672557e-30,6513,2.83,0.53,6533,5.73,16_7_21,DB,-1,-1
KC588,588,Kaga/Cab_F2,23805,0.746367337187046,0.1032596312707,617572850520929,1.97240334725447e-45,6507,0.79,0.15,6472,0.91,16_7_21,DB,-1,-1
KC589,589,Kaga/Cab_F2,23770,-0.2636116145249011,0.11702007202406,510572198161139,4.05942814955084e-43,618,1.2,0.22,6156,2.26,16_7_21,DB,-1,0
KC590,590,Kaga/Cab_F2,21363,0.5386925575903012,0.105572073943102,596936204335746,5.10802604951102e-45,6384,0.54,0.1,6412,1.12,16_7_21,DB,-1,-1
KC591,591,Kaga/Cab_F2,25337,-0.212543341685061,0.540205271132574,111060421831079,1.39864859342743e-24,609,1.51,0.28,6095,2.03,16_7_21,DB,-1,-1
KC592,592,Kaga/Cab_F2,26489,1.1479959256852073,0.353018858909996,173988490531222,4.95094706808535e-30,6597,2.74,0.51,6457,5.04,21_7_21,AU,0,0
KC593,593,Kaga/Cab_F2,24741,1.8474423714023311,0.054759983899341,120596284083132,1.43626173697788e-53,7045,2.51,0.47,703,4.07,21_7_21,AU,-1,-1
KC594,594,Kaga/Cab_F2,23046,1.8128322561250505,0.0525003777202974,124883918140429,5.40018593391191e-54,6951,2.24,0.42,6955,3.47,21_7_21,AU,-1,-1
KC595,595,Kaga/Cab_F2,17610,2.268711117346279,0.0918192722348962,751288699312716,8.16231111326032e-48,7009,0.67,0.12,7015,0.6,21_7_21,AU,0,0
KC596,596,Kaga/Cab_F2,23014,-0.5845332848168104,0.0742042355138139,925959164975588,2.34386920602659e-50,7126,1.46,0.27,7136,2.26,21_7_21,AU,-1,0
KC597,597,Kaga/Cab_F2,23502,-0.5999909156416151,0.108556136289811,586607245507972,8.32703921526073e-45,6597,1.33,0.25,6638,2.34,21_7_21,AU,0,0
KC598,598,Kaga/Cab_F2,22893,1.4672696491116628,0.210449827775316,298011456854568,1.42666185439232e-36,6729,2.65,0.49,6789,5.35,21_7_21,AU,0,0
KC599,599,Kaga/Cab_F2,25084,2.3633357117231064,0.0877322573722793,789373479215426,2.04419208488302e-48,7168,1.4,0.26,7181,2.11,21_7_21,AU,0,0
KC600,600,Kaga/Cab_F2,20368,1.1111723311366384,0.330714077471497,185120426389346,8.73322966200306e-31,6605,2.88,0.53,6503,4.67,21_7_21,AU,-1,-1
KC601,601,Kaga/Cab_F2,23975,-0.6636244679006325,0.589620115630591,98302734768947,5.80227284882064e-21,6458,4.04,0.78,6367,4.15,21_7_21,DB,0,0
KC602,602,Kaga/Cab_F2,22093,-0.6760484238640893,0.224068433398369,258503537870686,7.64139630977226e-35,6302,2.95,0.55,6246,4.38,21_7_21,DB,-1,-1
KC603,603,Kaga/Cab_F2,21831,-0.6269483851055669,0.645262980687449,89982914588254,4.98798643281362e-22,6205,2.83,0.53,6095,5.35,21_7_21,DB,-1,-1
KC604,604,Kaga/Cab_F2,28377,-0.4544500295251085,0.455824566674666,129036636604752,2.11278966271931e-26,6317,2.74,0.51,6216,2.86,21_7_21,DB,-1,-1
KC605,605,Kaga/Cab_F2,24450,0.6330014849576905,0.159686484690867,3961955865097,4.92241965726139e-40,6829,2.88,0.54,6789,4.37,21_7_21,DB,-1,-1
KC606,606,Kaga/Cab_F2,25963,-0.162023778532748,0.242540421526694,248240455956162,2.37462501357028e-34,6407,2.28,0.42,6488,4.45,21_7_21,DB,-1,0
KC607,607,Kaga/Cab_F2,21375,-0.9374738838534352,0.128657673638255,479877385468435,2.30321314655481e-42,6468,1.71,0.32,6427,2.71,21_7_21,DB,-1,0
KC608,608,Kaga/Cab_F2,29953,0.694882863352286,0.503971221982149,126001447460675,4.10984264367873e-26,6287,1.37,0.25,6276,2.26,21_7_21,DB,-1,-1
KC609,609,Kaga/Cab_F2,27497,0.8848498412982432,0.247484213728703,260280110073679,6.30841826202735e-35,6807,2.18,0.4,6729,4.14,21_7_21,DB,-1,-1
KC610,610,Kaga/Cab_F2,23043,2.8812991122291534,0.139871817333768,506668334197343,5.03257551290408e-43,6933,0.95,0.18,697,1.81,22_7_21,DB,-1,-1
KC611,611,Kaga/Cab_F2,24776,1.1324965296189653,0.139501592549126,468153844720829,4.60325681157575e-42,6612,0.59,0.11,6593,0.3,22_7_21,DB,0,0
KC612,612,Kaga/Cab_F2,19630,-0.8487155274221447,0.253451454577125,252537875786962,1.46883886393043e-34,6554,1.1,0.2,6503,1.44,22_7_21,DB,-1,-1
KC614,614,Kaga/Cab_F2,25293,1.2538377359220625,0.121291102629498,541133209734698,7.97292072669032e-44,6737,1.03,0.19,6774,1.81,22_7_21,DB,-1,-1
KC615,615,Kaga/Cab_F2,25009,0.7728621613601606,0.268854517325492,237513917528355,8.17497475093603e-34,6437,0.76,0.14,6427,1.21,22_7_21,DB,-1,-1
KC616,616,Kaga/Cab_F2,26122,0.9928314939892805,0.131668594145085,490900714146986,1.21952645150229e-42,6695,1.36,0.25,6698,2.71,22_7_21,DB,-1,-1
KC617,617,Kaga/Cab_F2,22665,0.5158766060828119,0.135917758651007,462981459695989,6.28272690754801e-42,6328,0.41,0.08,6322,0.53,22_7_21,DB,-1,-1
KC618,618,Kaga/Cab_F2,22886,1.113843026791642,0.149681273788745,434931977567713,3.61434217343476e-41,6509,0.39,0.07,6503,0.61,22_7_21,DB,-1,-1
KC619,619,Kaga/Cab_F2,22792,1.171036369740607,0.218297598773495,299397673042035,1.25286789815736e-36,6539,0.57,0.11,6533,0.9,22_7_21,DB,-1,-1
KC620,620,Kaga/Cab_F2,25182,2.2011872254273284,0.174154200215078,390208747327179,3.78380660939727e-33,6511,1.67,0.33,6548,3.53,23_8_21,DB,-1,-1
KC621,621,Kaga/Cab_F2,25337,-0.2842254360806616,0.770693903964888,774886108385784,2.95684376565299e-19,6831,5.26,0.99,7106,10.55,23_8_21,DB,-1,-1
KC622,622,Kaga/Cab_F2,23588,1.0428242390384295,0.138898914860722,467019694147199,4.92670699126159e-42,657,0.6,0.11,6593,0.83,23_8_21,DB,-1,0
KC623,623,Kaga/Cab_F2,22053,0.10692121170257003,0.0914801669309453,668325756011016,2.16101953689338e-46,6462,1.99,0.37,6457,3.77,23_8_21,DB,-1,-1
KC624,624,Kaga/Cab_F2,23104,0.36269640814364706,0.245768140280885,252704303314847,1.44200360110121e-34,646,1.56,0.29,6518,2.94,23_8_21,DB,-1,-1
KC625,625,Kaga/Cab_F2,22476,-0.43254337458462083,0.142600742243594,412909459487362,1.54809000140004e-40,6133,1.44,0.27,608,2.33,23_8_21,DB,-1,-1
KC626,626,Kaga/Cab_F2,23027,0.2584759546743395,0.113566059268629,544786978990634,6.60380263148889e-44,6207,0.32,0.06,6201,0.6,23_8_21,DB,-1,0
KC627,627,Kaga/Cab_F2,22028,0.9608379310031611,0.668889023489712,965832776202931,6.9155532554499e-24,6343,1.88,0.35,6367,3.47,23_8_21,DB,-1,-1
KC628,628,Kaga/Cab_F2,25932,-0.24310921592531431,0.0972380329576982,615706058174347,2.14687437989466e-45,619,1.18,0.22,6201,1.43,23_8_21,DB,0,0
KC629,629,Kaga/Cab_F2,26242,1.576756844158912,0.134945965525728,492839577564089,1.09210156539011e-42,6849,1.18,0.22,6864,1.73,23_8_21,DB,-1,0
KC630,630,Kaga/Cab_F2,21698,-0.15792629570132838,0.137256717982551,401467190644339,3.39996202596477e-40,572,1.24,0.23,5764,2.41,28_8_21,AU,-1,-1
KC631,631,Kaga/Cab_F2,24672,0.5129008217671307,0.330979468334625,175275448367063,4.02857905205347e-30,6112,1.97,0.36,599,2.93,28_8_21,AU,-1,-1
KC632,632,Kaga/Cab_F2,22725,1.4124189178937039,0.160189884526972,390964603648857,7.14121017179293e-40,6141,0.81,0.15,6141,1.73,28_8_21,AU,-1,-1
KC633,633,Kaga/Cab_F2,22750,0.5806907450331915,0.504920634511483,115461641954178,4.72181243164975e-25,5868,1.34,0.25,5899,1.43,28_8_21,AU,-1,-1
KC634,634,Kaga/Cab_F2,22384,0.6512624208900775,0.0465031887861462,126073025402852,4.14163903822507e-54,6165,1.72,0.32,6171,2.63,28_8_21,AU,-1,0
KC635,635,Kaga/Cab_F2,21285,0.0892935226857984,0.263136920221375,213907081253968,1.53037057190365e-32,5662,0.72,0.13,5643,1.21,28_8_21,AU,0,0
KC636,636,Kaga/Cab_F2,24624,0.0827840071746642,0.195990844142217,286905731733679,4.13047000417809e-36,5813,1.19,0.22,5839,1.65,28_8_21,AU,0,0
KC637,637,Kaga/Cab_F2,23085,0.5883844747645558,0.0948928122034353,614386129280467,2.27982469391586e-45,5965,0.8,0.15,599,1.44,28_8_21,AU,-1,-1
KC638,638,Kaga/Cab_F2,22259,0.4908329101825495,0.344074797780863,168576617326627,1.19834856015422e-29,6179,2.33,0.43,6291,4.45,28_8_21,AU,0,0
KC639,639,Kaga/Cab_F2,24485,0.5578119040116063,0.131377156985855,442837004555752,2.18287177616837e-41,5998,1.08,0.2,6005,2.12,28_8_21,AU,-1,-1
KC640,640,Kaga/Cab_F2,25379,0.4270993989893461,0.416034363371119,150437341139644,2.89381853229277e-28,6366,1.25,0.23,6352,2.11,28_8_21,DB,-1,-1
KC641,641,Kaga/Cab_F2,24350,-1.2872137328173296,0.323430592653931,1914936958561,3.38754494617562e-31,6538,2.13,0.4,6638,3.17,28_8_21,DB,-1,0
KC642,642,Kaga/Cab_F2,24530,0.037235755375933835,0.433452678817264,140336415888073,2.02104409158278e-27,6347,1.88,0.35,6427,2.04,28_8_21,DB,-1,0
KC643,643,Kaga/Cab_F2,24921,0.1771304294356273,0.0353509050261875,173970476528044,5.02720758211055e-58,6426,1.57,0.29,6427,2.57,28_8_21,DB,0,0
KC644,644,Kaga/Cab_F2,25356,0.06705910071951436,0.228181056453495,267140453077099,3.04565463558901e-35,6519,2.48,0.46,6608,3.77,28_8_21,DB,-1,-1
KC645,645,Kaga/Cab_F2,24077,-0.02233814918008059,0.180337792725737,336041534000092,4.94580145470356e-38,6221,1.03,0.19,6171,0.9,28_8_21,DB,-1,-1
KC647,647,Kaga/Cab_F2,25099,0.22779967392931375,0.0578636187851039,106600402584209,4.54259694377129e-52,6391,1.27,0.24,6382,2.12,28_8_21,DB,-1,-1
KC648,648,Kaga/Cab_F2,25884,0.7203863877963437,0.287390191645548,221249362017708,5.95167205557706e-33,6869,3,0.56,694,5.95,28_8_21,DB,0,0
