LANE	POOL	fq1	fq2
6131	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6131_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6131_2_sequence.txt.gz
6132	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6132_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6132_2_sequence.txt.gz
6133	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6133_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6133_2_sequence.txt.gz
6135	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6135_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6135_2_sequence.txt.gz
6136	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6136_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6136_2_sequence.txt.gz
6137	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6137_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6137_2_sequence.txt.gz
6138	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6138_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6138_2_sequence.txt.gz
6139	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6139_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6139_2_sequence.txt.gz
6140	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6140_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6140_2_sequence.txt.gz
6141	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6141_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6141_2_sequence.txt.gz
6142	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6142_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6142_2_sequence.txt.gz
6143	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6143_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6143_2_sequence.txt.gz
6144	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6144_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6144_2_sequence.txt.gz
6145	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6145_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6145_2_sequence.txt.gz
6146	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6146_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6146_2_sequence.txt.gz
6147	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6147_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6147_2_sequence.txt.gz
6148	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6148_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6148_2_sequence.txt.gz
6149	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6149_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6149_2_sequence.txt.gz
6150	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6150_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6150_2_sequence.txt.gz
6151	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6151_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6151_2_sequence.txt.gz
6152	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6152_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6152_2_sequence.txt.gz
6153	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6153_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6153_2_sequence.txt.gz
6154	6	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6154_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_6_21s001377-1-1_Seleit_lane6154_2_sequence.txt.gz
7156	7	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_7_21s001378-1-1_Seleit_lane7156_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_7_21s001378-1-1_Seleit_lane7156_2_sequence.txt.gz
7157	7	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_7_21s001378-1-1_Seleit_lane7157_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_7_21s001378-1-1_Seleit_lane7157_2_sequence.txt.gz
