fish,strain,intercept,mean,sd,sem,Date_of_imaging,Microscope,unsegmented_psm_area,reporter_pheno
KC369,Kaga/Cab_F2,55.68556322,59.44,2.84,0.53,1_2_21,AU,27075,0
KC370,Kaga/Cab_F2,61.89593103,66.16,2.53,0.47,1_2_21,AU,26907,0
KC382,Kaga/Cab_F2,54.20887356,61.15,3.98,0.74,4_2_21,AU,24257,-1
KC383,Kaga/Cab_F2,54.65482759,59.62,2.85,0.53,4_2_21,AU,27583,0
KC384,Kaga/Cab_F2,57.05912644,61.7,2.64,0.49,4_2_21,AU,24117,0
KC385,Kaga/Cab_F2,59.01903448,65.29,3.59,0.67,4_2_21,AU,25576,-1
KC386,Kaga/Cab_F2,61.45868966,65.38,2.34,0.43,4_2_21,AU,24448,0
KC387,Kaga/Cab_F2,58.7163908,60.89,1.29,0.24,4_2_21,AU,22382,0
KC388,Kaga/Cab_F2,56.79,59.87,1.77,0.33,4_2_21,AU,23855,0
KC390,Kaga/Cab_F2,56.58535632,60.09,2.65,0.49,4_2_21,AU,20733,0
KC391,Kaga/Cab_F2,55.69572414,58.96,1.88,0.35,10_2_21,AU,26769,-1
KC392,Kaga/Cab_F2,58.06271264,62.09,2.31,0.43,10_2_21,AU,24270,0
KC394,Kaga/Cab_F2,51.16694253,55.39,2.55,0.47,10_2_21,AU,31439,0
KC395,Kaga/Cab_F2,55.78190805,59.17,2.06,0.38,10_2_21,AU,26216,0
KC396,Kaga/Cab_F2,57.35402299,56.99,1.08,0.2,10_2_21,AU,27093,-1
KC397,Kaga/Cab_F2,54.24774713,56.27,1.22,0.23,10_2_21,AU,24653,0
KC398,Kaga/Cab_F2,54.52689655,56.98,1.44,0.27,10_2_21,AU,26876,0
KC399,Kaga/Cab_F2,61.31719212,58.62,2.52,0.48,10_2_21,AU,25894,-1
KC400,Kaga/Cab_F2,53.19174713,54.85,1.15,0.21,11_2_21,AU,23041,-1
KC401,Kaga/Cab_F2,54.9545977,58.6,2.32,0.43,11_2_21,AU,28998,0
KC402,Kaga/Cab_F2,54.65089655,57.7,1.75,0.33,11_2_21,AU,29011,0
KC403,Kaga/Cab_F2,56.77896552,54.26,1.97,0.36,11_2_21,AU,30936,-1
KC404,Kaga/Cab_F2,56.58616092,54.15,2.16,0.4,11_2_21,AU,21003,0
KC405,Kaga/Cab_F2,61.54455172,66.68,3.07,0.57,11_2_21,AU,23276,0
KC406,Kaga/Cab_F2,56.55549425,57.3,1.28,0.24,11_2_21,AU,26742,0
KC407,Kaga/Cab_F2,55.60022989,58.51,1.66,0.31,11_2_21,AU,23611,0
KC408,Kaga/Cab_F2,52.69409195,57.48,2.89,0.54,11_2_21,AU,25496,-1
KC409,Kaga/Cab_F2,54.37954023,58.38,2.4,0.44,11_2_21,AU,26666,0
KC410,Kaga/Cab_F2,52.28765517,60.79,4.97,0.92,16_2_21,AU,29568,0
KC411,Kaga/Cab_F2,54.40298851,54.99,0.4,0.07,16_2_21,AU,26118,0
KC412,Kaga/Cab_F2,57.17657471,58.58,1.93,0.36,16_2_21,AU,27460,-1
